date,mktrf,smb,hml,rmw,cma,rf,umd
2021-11-09,-0.003500,-0.001400,0.004500,0.005800,0.002800,0.00000,-0.009100
2021-11-10,-0.010700,-0.003000,0.009300,0.013800,-0.000700,0.00000,-0.009400
2021-11-11,0.002400,0.006300,0.003300,0.001300,0.001000,0.00000,0.010200
2021-11-12,0.007400,-0.004500,-0.009100,0.004000,-0.003000,0.00000,-0.002200
2021-11-15,-0.000200,-0.004600,0.006900,0.005500,0.004800,0.00000,-0.001800
2021-11-16,0.005000,-0.001700,-0.007100,0.001800,-0.006500,0.00000,0.003200
2021-11-17,-0.004700,-0.006400,-0.002500,0.008200,0.001600,0.00000,0.000000
2021-11-18,0.000600,-0.007600,-0.000700,0.012700,-0.000900,0.00000,0.009300
2021-11-19,-0.002000,-0.004000,-0.012800,0.010600,-0.006000,0.00000,-0.000100
2021-11-22,-0.006100,0.000400,0.027700,0.012500,0.016000,0.00000,0.006200
2021-11-23,-0.000300,-0.001900,0.017400,0.002300,0.011500,0.00000,0.000300
2021-11-24,0.003000,-0.001400,-0.008600,-0.005200,-0.002000,0.00000,0.001400
2021-11-26,-0.022300,-0.012600,-0.009400,0.002700,-0.006000,0.00000,-0.006700
2021-11-29,0.011100,-0.013200,-0.007600,0.004000,-0.003200,0.00000,0.012700
2021-11-30,-0.019500,0.001700,-0.011400,-0.001200,0.004200,0.00000,-0.001300
2021-12-01,-0.016100,-0.004600,0.010800,0.023000,0.007600,0.00000,-0.003000
2021-12-02,0.015100,0.009900,0.012700,-0.006700,0.000400,0.00000,-0.002600
2021-12-03,-0.012100,-0.008700,0.010700,0.017600,0.010000,0.00000,-0.012200
2021-12-06,0.011900,0.008400,0.006100,0.000800,0.006300,0.00000,-0.009700
2021-12-07,0.022200,-0.001600,-0.018000,-0.014600,-0.004500,0.00000,0.009900
2021-12-08,0.004700,0.003400,-0.008200,-0.009500,0.002000,0.00000,-0.005000
2021-12-09,-0.010700,-0.010500,0.015400,0.014200,0.009800,0.00000,-0.000500
2021-12-10,0.007000,-0.008800,0.005200,0.013800,0.007600,0.00000,0.007400
2021-12-13,-0.010400,-0.002900,-0.009800,0.003000,-0.003200,0.00000,-0.019200
2021-12-14,-0.007600,-0.003500,0.016300,0.003800,0.001700,0.00000,-0.003000
2021-12-15,0.016200,0.000200,-0.019100,0.000400,-0.003600,0.00000,0.004800
2021-12-16,-0.012000,-0.008500,0.027700,0.006200,0.006600,0.00000,-0.011600
2021-12-17,-0.006500,0.014800,-0.023300,-0.017100,-0.003800,0.00000,-0.015900
2021-12-20,-0.012700,-0.002300,-0.004000,0.000400,0.001500,0.00000,-0.003900
2021-12-21,0.020600,0.006700,0.002000,-0.010800,-0.002000,0.00000,0.005900
2021-12-22,0.009700,0.001800,-0.003600,0.003400,0.000700,0.00000,0.009500
2021-12-23,0.007100,0.002900,-0.004800,-0.003600,-0.003900,0.00000,0.000900
2021-12-27,0.012200,-0.001400,0.003100,0.009800,0.004800,0.00000,0.019200
2021-12-28,-0.002700,-0.004000,0.008000,0.008400,0.002100,0.00000,-0.005400
2021-12-29,0.000600,-0.000300,0.001700,0.007000,0.000000,0.00000,0.004100
2021-12-30,-0.001500,0.000800,-0.004100,-0.008300,-0.004100,0.00000,-0.010500
2021-12-31,-0.003100,0.001800,0.005300,0.003600,0.004000,0.00000,0.004200
2022-01-03,0.007300,0.004200,0.008000,-0.011700,0.005900,0.00000,-0.010500
2022-01-04,-0.002900,-0.000800,0.036400,0.006300,0.014700,0.00000,0.003900
2022-01-05,-0.022800,-0.009400,0.025900,0.013900,0.012500,0.00000,-0.007100
2022-01-06,0.000000,0.003800,0.017500,-0.005600,-0.000100,0.00000,0.007100
2022-01-07,-0.004800,-0.009600,0.020200,-0.001200,0.008500,0.00000,-0.006300
2022-01-10,-0.001500,-0.003000,-0.002800,-0.000500,-0.003700,0.00000,-0.001800
2022-01-11,0.011000,-0.002000,-0.002800,-0.012500,0.003700,0.00000,-0.001000
2022-01-12,0.001200,-0.008600,0.005100,0.007700,0.002700,0.00000,0.012600
2022-01-13,-0.015700,0.008600,0.024000,0.011600,0.010200,0.00000,-0.002800
2022-01-14,0.000800,0.000400,0.005500,-0.008500,0.004900,0.00000,-0.001900
2022-01-18,-0.020800,-0.009000,0.013600,0.008000,0.009700,0.00000,0.001200
2022-01-19,-0.010100,-0.003600,-0.006700,0.002400,0.000900,0.00000,-0.004400
2022-01-20,-0.011400,-0.008400,-0.002300,-0.003000,0.001200,0.00000,-0.004400
2022-01-21,-0.021000,0.003800,0.004800,0.010300,0.004900,0.00000,0.003700
2022-01-24,0.005300,0.017500,-0.002400,-0.000700,-0.006600,0.00000,0.000900
2022-01-25,-0.014300,-0.002000,0.027900,-0.008000,0.016000,0.00000,0.002400
2022-01-26,-0.003000,-0.010600,0.000900,0.004300,-0.000400,0.00000,0.014000
2022-01-27,-0.007900,-0.014600,0.007800,0.010600,0.009300,0.00000,0.002900
2022-01-28,0.024500,-0.006100,-0.020800,0.001600,0.002100,0.00000,-0.002900
2022-01-31,0.023400,0.007100,-0.028400,-0.018000,-0.016000,0.00000,-0.017100
2022-02-01,0.008700,0.001200,0.006600,-0.010700,0.003800,0.00000,0.000000
2022-02-02,0.004800,-0.015900,0.007200,0.014800,0.004900,0.00000,0.023700
2022-02-03,-0.024900,0.004500,0.021700,0.004200,0.013500,0.00000,0.012300
2022-02-04,0.008900,-0.002800,-0.006000,-0.016900,-0.011100,0.00000,-0.022400
2022-02-07,-0.002500,0.006600,0.002300,-0.007000,-0.000100,0.00000,-0.003800
2022-02-08,0.010200,0.007300,-0.002700,0.009300,-0.004500,0.00000,-0.001500
2022-02-09,0.016100,0.000200,-0.019500,-0.010900,-0.002300,0.00000,-0.011400
2022-02-10,-0.016900,0.000300,0.012300,-0.005600,0.003200,0.00000,0.003500
2022-02-11,-0.019200,0.009100,0.021200,-0.002100,0.014400,0.00000,0.007300
2022-02-14,-0.003500,0.000900,-0.005900,0.006900,-0.001800,0.00000,-0.000100
2022-02-15,0.018700,0.010300,-0.014100,-0.006600,-0.008400,0.00000,-0.009100
2022-02-16,-0.000200,0.000300,0.003200,0.006000,0.004100,0.00000,0.006400
2022-02-17,-0.022800,-0.000400,0.010800,0.008500,0.014600,0.00000,0.010300
2022-02-18,-0.008700,0.001000,0.009400,0.010600,0.004100,0.00000,0.010400
2022-02-22,-0.011800,-0.003500,0.000900,-0.000600,0.001400,0.00000,0.004300
2022-02-23,-0.019600,0.000600,0.012600,0.000100,0.010500,0.00000,0.009500
2022-02-24,0.018900,0.007200,-0.038600,-0.017900,-0.017300,0.00000,-0.030100
2022-02-25,0.022300,-0.001500,0.012300,0.003700,-0.002000,0.00000,0.007900
2022-02-28,0.000500,0.003900,-0.004800,-0.008200,0.002900,0.00000,-0.003200
2022-03-01,-0.015600,-0.002800,-0.008200,-0.004100,0.005600,0.00000,0.002800
2022-03-02,0.018100,0.006100,0.013200,0.005300,0.004100,0.00000,0.012900
2022-03-03,-0.008800,-0.002100,0.015100,0.012300,0.012200,0.00000,0.012800
2022-03-04,-0.011000,-0.005200,0.006900,0.003700,0.012200,0.00000,0.015100
2022-03-07,-0.031200,0.007200,0.009000,-0.006900,0.013500,0.00000,0.005700
2022-03-08,-0.005200,0.009600,0.003500,-0.010900,-0.002500,0.00000,-0.008400
2022-03-09,0.027900,0.000100,-0.021100,-0.004100,-0.015600,0.00000,-0.009700
2022-03-10,-0.004700,0.003000,0.011700,-0.003200,0.003500,0.00000,0.010000
2022-03-11,-0.014900,-0.001300,0.017800,0.009900,0.006000,0.00000,0.013100
2022-03-14,-0.010600,-0.008300,0.017400,0.021800,0.000500,0.00000,0.012200
2022-03-15,0.021500,-0.004900,-0.023900,0.007700,-0.010000,0.00000,-0.007700
