Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity
CSGP,COSTAR GROUP INC,Real Estate,Equity,"344,603,189.94",0.06,"344,603,189.94","4,813,566.00"
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"338,891,441.40",0.06,"338,891,441.40","572,742.00"
STT,STATE STREET CORP,Financials,Equity,"337,846,924.35",0.06,"337,846,924.35","3,442,149.00"
TSCO,TRACTOR SUPPLY,Consumer Discretionary,Equity,"336,485,083.76",0.06,"336,485,083.76","6,341,596.00"
CAH,CARDINAL HEALTH INC,Health Care,Equity,"336,081,354.15",0.06,"336,081,354.15","2,841,645.00"
GPN,GLOBAL PAYMENTS INC,Financials,Equity,"335,040,798.04",0.06,"335,040,798.04","2,989,834.00"
RJF,RAYMOND JAMES INC,Financials,Equity,"333,712,835.96",0.06,"333,712,835.96","2,148,412.00"
FITB,FIFTH THIRD BANCORP,Financials,Equity,"332,893,186.64",0.06,"332,893,186.64","7,873,538.00"
XYL,XYLEM INC,Industrials,Equity,"331,113,190.64",0.06,"331,113,190.64","2,853,932.00"
DOW,DOW INC,Materials,Equity,"329,885,735.51",0.06,"329,885,735.51","8,220,427.00"
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Equity,"327,328,119.51",0.06,"327,328,119.51","2,037,777.00"
HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,Equity,"325,563,737.45",0.06,"325,563,737.45","15,248,887.00"
GDDY,GODADDY INC CLASS A,Information Technology,Equity,"325,352,010.69",0.06,"325,352,010.69","1,648,437.00"
PPG,PPG INDUSTRIES INC,Materials,Equity,"325,394,820.05",0.06,"325,394,820.05","2,724,109.00"
EQT,EQT CORP,Energy,Equity,"323,056,711.98",0.06,"323,056,711.98","7,006,218.00"
NUE,NUCOR CORP,Materials,Equity,"321,795,496.33",0.05,"321,795,496.33","2,757,223.00"
KHC,KRAFT HEINZ,Consumer Staples,Equity,"318,298,770.02",0.05,"318,298,770.02","10,364,662.00"
ON,ON SEMICONDUCTOR CORP,Information Technology,Equity,"315,231,085.00",0.05,"315,231,085.00","4,999,700.00"
SW,SMURFIT WESTROCK PLC,Materials,Equity,"312,303,655.24",0.05,"312,303,655.24","5,798,434.00"
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,Equity,"310,178,297.16",0.05,"310,178,297.16","1,371,924.00"
FTV,FORTIVE CORP,Industrials,Equity,"305,535,525.00",0.05,"305,535,525.00","4,073,807.00"
CCL,CARNIVAL CORP,Consumer Discretionary,Equity,"303,949,389.52",0.05,"303,949,389.52","12,197,006.00"
MTD,METTLER TOLEDO INC,Health Care,Equity,"303,285,416.96",0.05,"303,285,416.96","247,847.00"
DOV,DOVER CORP,Industrials,Equity,"302,202,776.40",0.05,"302,202,776.40","1,610,889.00"
CHD,CHURCH AND DWIGHT INC,Consumer Staples,Equity,"301,184,597.99",0.05,"301,184,597.99","2,876,369.00"
SYF,SYNCHRONY FINANCIAL,Financials,Equity,"297,154,455.00",0.05,"297,154,455.00","4,571,607.00"
VLTO,VERALTO CORP,Industrials,Equity,"295,838,093.25",0.05,"295,838,093.25","2,904,645.00"
TROW,T ROWE PRICE GROUP INC,Financials,Equity,"295,004,538.38",0.05,"295,004,538.38","2,608,582.00"
NVR,NVR INC,Consumer Discretionary,Equity,"294,055,991.70",0.05,"294,055,991.70","35,953.00"
HSY,HERSHEY FOODS,Consumer Staples,Equity,"293,918,440.80",0.05,"293,918,440.80","1,735,568.00"
DTE,DTE ENERGY,Utilities,Equity,"293,795,134.50",0.05,"293,795,134.50","2,433,086.00"
VTR,VENTAS REIT INC,Real Estate,Equity,"290,087,899.92",0.05,"290,087,899.92","4,925,928.00"
TYL,TYLER TECHNOLOGIES INC,Information Technology,Equity,"289,804,271.36",0.05,"289,804,271.36","502,574.00"
EQR,EQUITY RESIDENTIAL REIT,Real Estate,Equity,"287,697,321.60",0.05,"287,697,321.60","4,009,160.00"
AWK,AMERICAN WATER WORKS INC,Utilities,Equity,"284,880,924.16",0.05,"284,880,924.16","2,288,384.00"
BRO,BROWN & BROWN INC,Financials,Equity,"283,945,532.68",0.05,"283,945,532.68","2,783,234.00"
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,"283,628,979.84",0.05,"283,628,979.84","5,614,192.00"
PPL,PPL CORP,Utilities,Equity,"281,417,228.52",0.05,"281,417,228.52","8,669,662.00"
HAL,HALLIBURTON,Energy,Equity,"280,473,958.65",0.05,"280,473,958.65","10,315,335.00"
AEE,AMEREN CORP,Utilities,Equity,"279,453,454.30",0.05,"279,453,454.30","3,134,995.00"
NTAP,NETAPP INC,Information Technology,Equity,"279,116,913.76",0.05,"279,116,913.76","2,404,522.00"
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity,"278,536,715.28",0.05,"278,536,715.28","850,338.00"
HBAN,HUNTINGTON BANCSHARES INC,Financials,Equity,"277,733,927.43",0.05,"277,733,927.43","17,070,309.00"
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,"277,188,694.72",0.05,"277,188,694.72","26,224,096.00"
CPAY,CORPAY INC,Financials,Equity,"277,016,059.94",0.05,"277,016,059.94","818,557.00"
CDW,CDW CORP,Information Technology,Equity,"272,325,087.08",0.05,"272,325,087.08","1,564,727.00"
EXPE,EXPEDIA GROUP INC,Consumer Discretionary,Equity,"268,732,020.21",0.05,"268,732,020.21","1,442,237.00"
