Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity
RVTY,REVVITY INC,Health Care,Equity,"159,489,462.29",0.03,"159,489,462.29","1,428,989.00"
EPAM,EPAM SYSTEMS INC,Information Technology,Equity,"155,741,188.86",0.03,"155,741,188.86","666,073.00"
CAG,CONAGRA BRANDS INC,Consumer Staples,Equity,"155,515,828.50",0.03,"155,515,828.50","5,604,174.00"
UDR,UDR REIT INC,Real Estate,Equity,"153,109,283.91",0.03,"153,109,283.91","3,527,051.00"
ROL,ROLLINS INC,Industrials,Equity,"152,799,449.40",0.03,"152,799,449.40","3,296,644.00"
POOL,POOL CORP,Consumer Discretionary,Equity,"152,368,813.52",0.03,"152,368,813.52","446,908.00"
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,Equity,"150,202,474.30",0.03,"150,202,474.30","856,831.00"
KMX,CARMAX INC,Consumer Discretionary,Equity,"148,734,194.56",0.03,"148,734,194.56","1,819,156.00"
JNPR,JUNIPER NETWORKS INC,Information Technology,Equity,"145,592,941.90",0.02,"145,592,941.90","3,887,662.00"
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,Equity,"145,450,570.08",0.02,"145,450,570.08","1,253,452.00"
SWK,STANLEY BLACK & DECKER INC,Industrials,Equity,"145,306,754.46",0.02,"145,306,754.46","1,809,774.00"
HST,HOST HOTELS & RESORTS REIT INC,Real Estate,Equity,"143,804,037.36",0.02,"143,804,037.36","8,207,993.00"
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,Equity,"143,399,894.40",0.02,"143,399,894.40","1,387,920.00"
REG,REGENCY CENTERS REIT CORP,Real Estate,Equity,"141,837,588.27",0.02,"141,837,588.27","1,918,539.00"
SJM,JM SMUCKER,Consumer Staples,Equity,"137,783,795.80",0.02,"137,783,795.80","1,251,215.00"
DAY,DAYFORCE INC,Industrials,Equity,"134,507,851.20",0.02,"134,507,851.20","1,851,705.00"
TECH,BIO TECHNE CORP,Health Care,Equity,"134,383,777.92",0.02,"134,383,777.92","1,865,664.00"
NDSN,NORDSON CORP,Industrials,Equity,"133,466,035.64",0.02,"133,466,035.64","637,861.00"
ALLE,ALLEGION PLC,Industrials,Equity,"133,391,610.00",0.02,"133,391,610.00","1,020,750.00"
